Rank,Released,Released Worldwide,Release Year,Title,Theatrical Distributor,Genre,Source,Production Method,Creative Type,Production Budget,Opening Weekend Theaters,Maximum Theaters,Theatrical Engagements,Opening Weekend Revenue,Domestic Box Office,Infl. Adj. Dom. Box Office,International Box Office,Worldwide Box Office
1,"Dec 18, 2015","Dec 16, 2015",2015,Star Wars Ep. VII: The Force Awakens,Walt Disney,Adventure,Original Screenplay,Animation/Live Action,Science Fiction,533200000,4134,4134,37852,247966675,936662225,1246946196,1119384610,2056046835
2,"Jun 12, 2015","Jun 9, 2015",2015,Jurassic World,Universal,Action,Based on Fiction Book/Short Story,Live Action,Science Fiction,215000000,4274,4291,36378,208806270,653406625,876373751,1017657016,1671063641
3,"Apr 3, 2015","Apr 1, 2015",2015,Furious 7,Universal,Action,Original Screenplay,Live Action,Contemporary Fiction,190000000,4004,4022,27789,147187040,353007020,473607279,1157058375,1510065395
4,"May 1, 2015","Apr 22, 2015",2015,Avengers: Age of Ultron,Walt Disney,Action,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,365000000,4276,4276,30109,191271109,459005868,615819264,936311111,1395316979
5,"Jul 10, 2015","Jun 17, 2015",2015,Minions,Universal,Adventure,Spin-Off,Digital Animation,Kids Fiction,74000000,4301,4311,33712,115718405,336045770,450851446,821225989,1157271759
6,"Nov 6, 2015","Oct 6, 2015",2015,Spectre,Sony Pictures,Action,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,245000000,3929,3929,23645,70403148,200074175,268325520,679003169,879077344
7,"Jun 19, 2015","Jun 12, 2015",2015,Inside Out,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,175000000,3946,4158,37079,90440272,356461711,478242219,492007743,848469454
8,"Jul 31, 2015","Jul 29, 2015",2015,Mission: Impossible Rogue Nation,Paramount Pictures,Action,Based on TV,Live Action,Contemporary Fiction,150000000,3956,3988,27828,55520089,195042377,261676077,493816615,688858992
9,"Oct 2, 2015","Sep 30, 2015",2015,The Martian,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Live Action,Science Fiction,108000000,3831,3854,31994,54308575,228433663,306369679,425175444,653609107
10,"Nov 20, 2015","Nov 18, 2015",2015,The Hunger Games: Mockingjay - Part 2,Lionsgate,Action,Based on Fiction Book/Short Story,Live Action,Science Fiction,160000000,4175,4175,25500,102665981,281723902,377556460,364401385,646125287
11,"Feb 13, 2015","Feb 11, 2015",2015,Fifty Shades of Grey,Universal,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,40000000,3646,3655,18340,85171450,166167230,222936104,404627720,570794950
12,"Mar 13, 2015","Mar 6, 2015",2015,Cinderella,Walt Disney,Drama,Based on Folk Tale/Legend/Fairytale,Live Action,Fantasy,95000000,3845,3848,27905,67877361,201151353,269872095,341200000,542351353
13,"Dec 25, 2015","Dec 25, 2015",2015,The Revenant,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Live Action,Dramatization,135000000,4,3711,28381,474560,183637894,240138976,349300408,532938302
14,"Jul 17, 2015","Jul 14, 2015",2015,Ant-Man,Walt Disney,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,130000000,3856,3868,25916,57225526,180202163,241765896,338656286,518858449
15,"Sep 25, 2015","Sep 23, 2015",2015,Hotel Transylvania 2,Sony Pictures,Adventure,Original Screenplay,Digital Animation,Kids Fiction,80000000,3754,3768,28046,48464322,169700110,227634018,305099890,474800000
16,"May 29, 2015","May 27, 2015",2015,San Andreas,Warner Bros.,Adventure,Original Screenplay,Live Action,Science Fiction,110000000,3777,3812,21999,54588173,155190832,208209760,319400000,474590832
17,"Jul 1, 2015","Jun 24, 2015",2015,Terminator: Genisys,Paramount Pictures,Action,Original Screenplay,Live Action,Science Fiction,155000000,3758,3783,14033,27018486,89760956,120426618,342389938,432150894
18,"Feb 13, 2015","Jan 29, 2015",2015,Kingsman: The Secret Service,20th Century Fox,Action,Based on Comic/Graphic Novel,Live Action,Contemporary Fiction,94000000,3204,3282,24227,36206331,128261724,172080677,276300000,404561724
19,"Mar 27, 2015","Mar 19, 2015",2015,Home,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Digital Animation,Kids Fiction,130000000,3708,3801,31486,52107731,177397510,238003059,208600386,385997896
20,"May 15, 2015","May 14, 2015",2015,Mad Max: Fury Road,Warner Bros.,Action,Original Screenplay,Live Action,Science Fiction,150000000,3702,3722,20865,45428128,154363726,206759412,226100000,380463726
21,"Nov 25, 2015","Nov 25, 2015",2015,The Good Dinosaur,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,187500000,3749,3749,22239,39155217,123087120,164716114,210683917,333771037
22,"Jan 9, 2015","Jan 2, 2015",2015,Taken 3,20th Century Fox,Action,Original Screenplay,Live Action,Contemporary Fiction,48000000,3594,3594,16697,39201657,89256424,119749726,238400000,327656424
23,"Feb 6, 2015","Jan 28, 2015",2015,The SpongeBob Movie: Sponge Out of Water,Paramount Pictures,Adventure,Based on TV,Animation/Live Action,Kids Fiction,74000000,3641,3680,25768,55365012,162994032,218678827,148019149,311013181
24,"Sep 18, 2015","Sep 9, 2015",2015,Maze Runner: The Scorch Trials,20th Century Fox,Action,Based on Fiction Book/Short Story,Live Action,Science Fiction,61000000,3791,3792,19348,30316510,81697192,109605708,228868970,310566162
25,"Mar 20, 2015","Mar 18, 2015",2015,The Divergent Series: Insurgent,Lionsgate,Action,Based on Fiction Book/Short Story,Live Action,Science Fiction,110000000,3875,3875,22954,52263680,130179072,174653058,164896810,295075882
26,"May 15, 2015","May 7, 2015",2015,Pitch Perfect 2,Universal,Comedy,Based on Factual Book/Article,Live Action,Contemporary Fiction,29000000,3473,3660,21228,69216890,184296230,247258643,102918966,287215196
27,"Jan 16, 2015","Nov 28, 2014",2015,Paddington,Weinstein Co.,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Kids Fiction,55000000,3303,3355,23092,18966676,76223578,102264375,191240276,267463854
28,"Dec 18, 2015","Dec 17, 2015",2015,The Ghouls,China Lion Film Distribution,Adventure,Based on Fiction Book/Short Story,Live Action,Fantasy,37000000,22,27,92,279974,1243810,1660308,258181439,259425249
29,"Jan 2, 2015","Dec 23, 2014",2015,The Taking of Tiger Mountain,Well Go USA,Adventure,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,0,7,13,29,50621,222964,369203,255519969,255742933
30,"Nov 6, 2015","Nov 5, 2015",2015,The Peanuts Movie,20th Century Fox,Adventure,Based on Comic/Graphic Novel,Digital Animation,Kids Fiction,99000000,3897,3902,22946,44213073,130178411,174585876,119913199,250091610
31,"Dec 18, 2015","Dec 18, 2015",2015,Alvin and the Chipmunks: The Road Chip,20th Century Fox,Adventure,Based on TV,Animation/Live Action,Kids Fiction,90000000,3653,3705,19912,14287159,85886987,114194853,163630969,249517956
32,"Jul 24, 2015","Jul 16, 2015",2015,Pixels,Sony Pictures,Action,Based on Short Film,Animation/Live Action,Science Fiction,90000000,3723,3723,19649,24011616,78765986,105675358,164726828,243492814
33,"Dec 25, 2015","Dec 25, 2015",2015,Daddy s Home,Paramount Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,50000000,3271,3483,21404,38740203,150357137,198801322,91147852,241504989
34,"Sep 25, 2015","Sep 24, 2015",2015,Gang jiong,Well Go USA,Comedy,Original Screenplay,Live Action,Contemporary Fiction,0,28,34,110,537736,1302281,1747191,235971100,237273381
35,"Jun 5, 2015","May 21, 2015",2015,Spy,20th Century Fox,Comedy,Original Screenplay,Live Action,Contemporary Fiction,65000000,3711,3715,21232,29085719,110825712,148687876,123018394,233844106
36,"Sep 18, 2015","Aug 17, 2015",2015,Everest,Universal,Adventure,Based on Real Life Events,Live Action,Dramatization,65000000,545,3009,10887,7222035,43482270,58337421,177814791,221297061
37,"Jun 26, 2015","Jun 25, 2015",2015,Ted 2,Universal,Comedy,Original Screenplay,Animation/Live Action,Fantasy,68000000,3442,3448,12348,33507870,81476385,109311738,135737758,217214143
38,"Oct 9, 2015","Sep 30, 2015",2015,Xia Luo Te Fan Nao,China Lion Film Distribution,Romantic Comedy,Based on Play,Live Action,Science Fiction,0,22,40,121,363949,1289195,1729627,212660552,213949747
39,"May 22, 2015","May 20, 2015",2015,Tomorrowland,Walt Disney,Adventure,Original Screenplay,Live Action,Science Fiction,170000000,3972,3972,17822,33028165,93436322,125357631,113191196,206627518
40,"Aug 14, 2015","Aug 14, 2015",2015,Straight Outta Compton,Universal,Drama,Based on Real Life Events,Live Action,Dramatization,28000000,2757,3142,17941,60200180,161197785,216268915,40985196,202182981
41,"Sep 25, 2015","Sep 24, 2015",2015,The Intern,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,40000000,3305,3320,19850,17728313,75764672,101642213,121351038,197115710
42,"Feb 6, 2015","Feb 6, 2015",2015,Jupiter Ascending,Warner Bros.,Action,Original Screenplay,Live Action,Science Fiction,179000000,3885,3885,13791,18372372,47482519,63704310,136900000,184382519
43,"Nov 25, 2015","Nov 25, 2015",2015,Creed,Warner Bros.,Drama,Spin-Off,Live Action,Contemporary Fiction,37000000,3284,3502,19042,29632823,109767581,146913970,64400000,174167581
44,"Jul 24, 2015","Jul 16, 2015",2015,Jian Bing Man,Asia Releasing,Comedy,Original Screenplay,Live Action,Super Hero,0,0,0,0,0,0,0,169842267,169842267
45,"Feb 27, 2015","Feb 26, 2015",2015,Focus,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,65000000,3323,3323,14437,18685137,53862963,72264544,114202737,168065700
46,"Aug 7, 2015","Aug 5, 2015",2015,Fantastic Four,20th Century Fox,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,120000000,3995,4004,14869,25685737,56117548,75289381,111731639,167849187
47,"Oct 16, 2015","Oct 14, 2015",2015,Bridge of Spies,Walt Disney,Thriller/Suspense,Original Screenplay,Live Action,Historical Fiction,40000000,2811,2873,19292,15371203,72313754,96955133,90184584,162498338
48,"Oct 16, 2015","Oct 14, 2015",2015,Goosebumps,Sony Pictures,Horror,Based on Fiction Book/Short Story,Animation/Live Action,Kids Fiction,58000000,3501,3618,20942,23618556,80069458,107392183,78882785,158952243
49,"Dec 25, 2015","Dec 25, 2015",2015,The Hateful Eight,Weinstein Co.,Western,Original Screenplay,Live Action,Historical Fiction,62000000,100,2938,11086,4610676,54117416,71214467,97695942,151813358
50,"Oct 9, 2015","Sep 25, 2015",2015,Pan,Warner Bros.,Adventure,Based on Fiction Book/Short Story,Live Action,Fantasy,150000000,3515,3515,12363,15315435,35088320,47074731,116437653,151525973
51,"Aug 14, 2015","Aug 13, 2015",2015,Gun dan ba Zhong liu jun,China Lion Film Distribution,Comedy,Original Screenplay,Live Action,Contemporary Fiction,0,15,15,58,50036,286639,384563,146200000,146486639
52,"Jul 17, 2015","Jul 17, 2015",2015,Trainwreck,Universal,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,35000000,3158,3171,18674,30097040,110225700,147878436,30911197,141136897
53,"Dec 24, 2015","Dec 18, 2015",2015,Lao pao er,China Lion Film Distribution,Action,Original Screenplay,Live Action,Contemporary Fiction,0,30,32,103,286847,1414696,1876329,137789916,139204612
54,"Dec 25, 2015","Dec 2, 2015",2015,Point Break,Warner Bros.,Action,Original Screenplay,Live Action,Contemporary Fiction,100000000,2910,2910,8960,9800252,28782481,38165290,105000000,133782481
55,"Dec 11, 2015","Dec 11, 2015",2015,The Big Short,Paramount Pictures,Drama,Based on Factual Book/Article,Live Action,Historical Fiction,28000000,8,2529,13031,705527,70259870,92684568,62364811,132624681
56,"Oct 23, 2015","Oct 21, 2015",2015,The Last Witch Hunter,Lionsgate,Action,Original Screenplay,Live Action,Fantasy,80000000,3082,3082,11140,10812861,27367660,36717463,103451252,130818912
57,"Dec 31, 2015","Sep 10, 2015",2015,Fack ju Gohte 2,,Comedy,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,125000000,125000000
58,"Jul 1, 2015","Jul 1, 2015",2015,Magic Mike XXL,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,14500000,3355,3355,12264,12857184,66013057,88565556,57567364,123580421
59,"Jul 17, 2015","Jul 16, 2015",2015,Bajrangi Bhaijaan,Eros Entertainment,Action,Original Screenplay,Live Action,Contemporary Fiction,13000000,256,257,2055,2822564,8178001,10971910,114647617,122825618
60,"Sep 4, 2015","Feb 18, 2015",2015,Tian jiang xiong shi,Lionsgate,Action,Original Screenplay,Live Action,Historical Fiction,65000000,14,14,30,30346,74070,99370,122445804,122519874
61,"Jun 5, 2015","Jun 4, 2015",2015,Insidious Chapter 3,Focus Features,Horror,Original Screenplay,Live Action,Contemporary Fiction,10000000,3002,3014,11369,22692741,52218558,70058347,68234597,120453155
62,"Sep 11, 2015","Feb 13, 2015",2015,Lang Tu Teng,Sony Pictures,Adventure,Based on Factual Book/Article,Live Action,Historical Fiction,0,0,5,12,0,212616,285250,117378636,117591252
63,"Mar 27, 2015","Mar 26, 2015",2015,Get Hard,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,40000000,3175,3212,18582,33803253,90411453,121299354,21400000,111811453
64,"Aug 14, 2015","Aug 12, 2015",2015,The Man From U.N.C.L.E.,Warner Bros.,Action,Based on TV,Live Action,Historical Fiction,75000000,3638,3673,15553,13421036,45445109,60970841,64600000,110045109
65,"Feb 6, 2015","Dec 19, 2014",2015,Seventh Son,Universal,Adventure,Based on Fiction Book/Short Story,Live Action,Fantasy,95000000,2875,2875,7426,7217640,17725785,23781571,91149182,108874967
66,"Apr 17, 2015","Apr 10, 2015",2015,Paul Blart: Mall Cop 2,Sony Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,38000000,3633,3633,21216,23762435,71091594,95379119,36362313,107453907
67,"Dec 18, 2015","Dec 18, 2015",2015,Sisters,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,30000000,2962,2978,17009,13922855,87044645,115488344,18986015,106030660
68,"Mar 6, 2015","Mar 4, 2015",2015,Chappie,Sony Pictures,Action,Original Screenplay,Animation/Live Action,Science Fiction,49000000,3201,3201,10944,13346782,31569268,42354502,73432788,105002056
69,"Jul 29, 2015","Jul 29, 2015",2015,Vacation,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,31000000,3411,3430,16851,14681108,58884188,79001210,46000000,104884188
70,"Aug 5, 2015","Feb 6, 2015",2015,Shaun the Sheep,Lionsgate,Adventure,Spin-Off,Stop-Motion Animation,Kids Fiction,25000000,2320,2360,10730,4038962,19375982,25995537,82475004,101850986
71,"Dec 25, 2015","Dec 24, 2015",2015,Joy,20th Century Fox,Drama,Based on Real Life Events,Live Action,Dramatization,60000000,2896,2924,12291,17015168,56451232,74776822,44682827,101134059
72,"Sep 18, 2015","Sep 17, 2015",2015,Black Mass,Warner Bros.,Drama,Based on Factual Book/Article,Live Action,Dramatization,53000000,3188,3188,13669,22635037,62575678,83953847,37400000,99975678
73,"Sep 11, 2015","Sep 10, 2015",2015,The Visit,Universal,Horror,Original Screenplay,Live Action,Contemporary Fiction,5000000,3069,3148,15855,25427560,65206105,87482929,33471711,98677816
74,"Dec 31, 2015","Dec 21, 2015",2015,E gun tian shi,China Lion Film Distribution,Comedy,Based on Play,Live Action,Contemporary Fiction,0,12,12,26,44855,131058,173552,98501134,98632192
75,"Aug 7, 2015","Jul 22, 2015",2015,Assassination,Well Go USA,Thriller/Suspense,Original Screenplay,Live Action,Historical Fiction,0,33,33,155,287700,1904682,2555393,95029617,96934299
76,"May 22, 2015","May 20, 2015",2015,Poltergeist,20th Century Fox,Horror,Original Screenplay,Live Action,Contemporary Fiction,35000000,3240,3242,10626,22620386,47425125,63627300,48252577,95677702
77,"Dec 11, 2015","Nov 26, 2015",2015,In the Heart of the Sea,Warner Bros.,Adventure,Based on Real Life Events,Live Action,Dramatization,100000000,3103,3103,8370,11053366,25020758,33501985,69300000,94320758
78,"Jul 24, 2015","Jul 22, 2015",2015,Southpaw,Weinstein Co.,Drama,Original Screenplay,Live Action,Contemporary Fiction,30000000,2772,2774,13963,16701294,52421953,70331235,41734503,94156456
79,"Nov 6, 2015","Nov 6, 2015",2015,Spotlight,Open Road,Drama,Based on Real Life Events,Live Action,Dramatization,20000000,5,1227,14081,295009,45055776,59795665,46846662,91902438
80,"Aug 14, 2015","Aug 5, 2015",2015,Veteran,CJ Entertainment,Action,Original Screenplay,Live Action,Contemporary Fiction,0,0,46,134,0,1155652,1550465,89342778,90498430
81,"Mar 6, 2015","Feb 26, 2015",2015,The Second Best Exotic Marigold Hotel,Fox Searchlight,Comedy,Original Screenplay,Live Action,Contemporary Fiction,10000000,1573,2022,10142,8540370,33078266,44379026,56322596,89400862
82,"Jul 10, 2015","Jul 9, 2015",2015,Baahubali: The Beginning,Bluesky Cinemas,Action,Original Screenplay,Live Action,Historical Fiction,40000000,236,239,446,3215000,6738000,9039947,79495251,86233251
83,"Jul 24, 2015","Jul 9, 2015",2015,Paper Towns,20th Century Fox,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,12000000,3031,3031,9241,12650140,32000304,42932794,53450180,85450484
84,"Sep 18, 2015","Sep 17, 2015",2015,Sicario,Lionsgate,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,30000000,6,2620,12257,401288,46889293,62904354,37374889,84264182
85,"May 8, 2015","Dec 17, 2014",2015,La famille B̩lier,Entertainment One,Comedy,Original Screenplay,Live Action,Contemporary Fiction,11000000,0,0,0,0,0,0,82438670,82438670
86,"Aug 21, 2015","Aug 19, 2015",2015,Hitman: Agent 47,20th Century Fox,Action,Based on Game,Live Action,Contemporary Fiction,35000000,3261,3273,10384,8326530,22467450,30143163,59715353,82182803
87,"Nov 20, 2015","Aug 13, 2015",2015,Our Times,Asia Releasing,Romantic Comedy,Original Screenplay,Live Action,Historical Fiction,0,0,0,0,0,0,0,82027760,82027760
88,"Sep 1, 2015","Feb 18, 2015",2015,Wolf Warrior,,Action,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,81461069,81461069
89,"Jul 17, 2015","Jun 26, 2015",2015,N.L.L: Yeonpyeong Haejeon,Well Go USA,Drama,Based on Factual Book/Article,Live Action,Dramatization,0,13,13,37,108255,324719,435650,80901043,81225762
90,"Jan 16, 2015","Jan 16, 2015",2015,The Wedding Ringer,Sony Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,23000000,3003,3003,14973,20649306,64460211,86482209,15711385,80171596
91,"Dec 31, 2015","Jul 8, 2015",2015,Tiny Times 4.0,,Drama,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,79230000,79230000
92,"Oct 23, 2015","Oct 21, 2015",2015,Paranormal Activity: The Ghost Dimension,Paramount Pictures,Horror,Original Screenplay,Live Action,Contemporary Fiction,10000000,1656,1656,5419,8070493,18297124,24548095,59662250,77959374
93,"May 8, 2015","Apr 23, 2015",2015,Zuo Er,Asia Releasing,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,77910000,77910000
94,"Oct 16, 2015","Oct 14, 2015",2015,Crimson Peak,Universal,Horror,Original Screenplay,Live Action,Contemporary Fiction,55000000,2984,2991,9933,13143310,31090320,41711925,43876534,74966854
95,"Aug 28, 2015","Aug 27, 2015",2015,War Room,Sony Pictures,Drama,Original Screenplay,Live Action,Contemporary Fiction,3000000,1135,1945,13751,11351389,67790117,89390621,6199617,73989734
96,"Dec 31, 2015","Jan 1, 2016",2015,Quo Vado,,Comedy,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,73838483,73838483
97,"Mar 13, 2015","Mar 11, 2015",2015,Run All Night,Warner Bros.,Action,Original Screenplay,Live Action,Contemporary Fiction,50000000,3171,3171,10784,11012305,26461644,35501920,45200000,71661644
98,"Sep 4, 2015","Sep 2, 2015",2015,The Transporter Refueled,EuropaCorp,Action,Original Screenplay,Live Action,Contemporary Fiction,22000000,3434,3434,9222,7355622,16029670,21505999,53668825,69698495
99,"Apr 24, 2015","Apr 16, 2015",2015,The Age of Adaline,Lionsgate,Drama,Original Screenplay,Live Action,Fantasy,30000000,2991,3070,14935,13203458,42629776,57193686,26354760,68984536
100,"Jan 30, 2015","Jan 30, 2015",2015,Benpao Ba Xiongdi,China Lion Film Distribution,Reality,Spin-Off,Live Action,Factual,0,20,21,63,184926,309297,414964,68110000,68419297
1,"May 6, 2016","Apr 22, 2016",2016,Captain America: Civil War,Walt Disney,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,250000000,4226,4226,25150,179139142,408084349,533576179,743815237,1151899586
2,"Dec 16, 2016","Dec 14, 2016",2016,Rogue One: A Star Wars Story,Walt Disney,Adventure,Spin-Off,Animation/Live Action,Science Fiction,280200000,4157,4157,29371,155081681,533539991,691511914,521543605,1055083596
3,"Jun 17, 2016","Jun 16, 2016",2016,Finding Dory,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,200000000,4305,4305,32649,135060273,486295561,635838473,538710564,1025006125
4,"Mar 4, 2016","Feb 10, 2016",2016,Zootopia,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,150000000,3827,3959,38728,75063401,341268248,446213159,677206627,1018474875
5,"Apr 15, 2016","Apr 7, 2016",2016,The Jungle Book,Walt Disney,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,175000000,4028,4144,33513,103261464,364001123,475936732,586696875,950697998
6,"Jul 8, 2016","May 8, 2016",2016,The Secret Life of Pets,Universal,Adventure,Original Screenplay,Digital Animation,Kids Fiction,75000000,4370,4381,35694,104352905,369094830,482283633,516918170,886013000
7,"Mar 25, 2016","Mar 23, 2016",2016,Batman v Superman: Dawn of Justice,Warner Bros.,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,263000000,4242,4256,25005,166007347,330360194,431950728,544000000,874360194
8,"Nov 18, 2016","Nov 14, 2016",2016,Fantastic Beasts and Where to Find Them,Warner Bros.,Adventure,Spin-Off,Animation/Live Action,Fantasy,180000000,4144,4144,26479,74403387,234037575,305477536,582000000,816037575
9,"Feb 12, 2016","Feb 9, 2016",2016,Deadpool,20th Century Fox,Action,Spin-Off,Animation/Live Action,Super Hero,58000000,3558,3856,29582,132434639,363070709,474720195,418876982,781947691
10,"Aug 5, 2016","Aug 2, 2016",2016,Suicide Squad,Warner Bros.,Action,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,175000000,4255,4255,31523,133682248,325100054,425073016,424100000,749200054
11,"Nov 23, 2016","Jan 27, 2016",2016,Moana,Walt Disney,Musical,Original Screenplay,Digital Animation,Kids Fiction,150000000,3875,3875,31937,56631401,248757044,323281308,435600456,684357500
12,"Nov 4, 2016","Oct 24, 2016",2016,Doctor Strange,Walt Disney,Action,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,165000000,3882,3882,24582,85058311,232641920,304053675,443701254,676343174
13,"Dec 21, 2016","Nov 24, 2016",2016,Sing,Universal,Musical,Original Screenplay,Digital Animation,Kids Fiction,75000000,4022,4029,28297,35258145,270329045,347979520,360735137,631064182
14,"May 27, 2016","May 18, 2016",2016,X-Men: Apocalypse,20th Century Fox,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,178000000,4150,4153,17561,65769562,155442489,203243301,387095057,542537546
15,"Feb 19, 2016","Feb 7, 2016",2016,The Mermaid,Sony Pictures,Romantic Comedy,Original Screenplay,Live Action,Science Fiction,60720000,35,106,355,985052,3229457,4222566,520528779,523758236
16,"Jan 29, 2016","Jan 23, 2016",2016,Kung Fu Panda 3,20th Century Fox,Adventure,Original Screenplay,Digital Animation,Kids Fiction,140000000,3955,3987,26899,41282042,143528619,187665744,376660606,520189225
17,"Dec 9, 2016","Nov 30, 2016",2016,La La Land,Lionsgate,Musical,Original Screenplay,Live Action,Contemporary Fiction,30000000,5,3236,23194,881104,151101803,191964732,352751172,503852975
18,"Jun 10, 2016","May 25, 2016",2016,Warcraft,Universal,Action,Based on Game,Live Action,Fantasy,160000000,3400,3406,9650,24166110,47365290,61930800,391534534,438899824
19,"Jul 29, 2016","Jul 20, 2016",2016,Jason Bourne,Universal,Action,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,120000000,4026,4039,22794,59215365,162192920,212069591,253975396,416168316
20,"Jul 22, 2016","Jul 1, 2016",2016,Ice Age: Collision Course,20th Century Fox,Adventure,Original Screenplay,Digital Animation,Kids Fiction,105000000,3992,3997,15400,21373064,64063008,83763308,338093674,402156682
21,"Jun 24, 2016","Jun 22, 2016",2016,Independence Day: Resurgence,20th Century Fox,Action,Original Screenplay,Live Action,Science Fiction,165000000,4068,4091,15489,41039944,103144286,134862645,281025138,384169424
22,"Jul 1, 2016","Jun 27, 2016",2016,The Legend of Tarzan,Warner Bros.,Adventure,Based on Fiction Book/Short Story,Live Action,Historical Fiction,180000000,3561,3591,17135,38527856,126643061,165587629,230600000,357243061
23,"May 20, 2016","May 11, 2016",2016,The Angry Birds Movie,Sony Pictures,Adventure,Based on Game,Digital Animation,Kids Fiction,73000000,3932,3932,18331,38155177,107509366,140570045,244778975,352288341
24,"Nov 4, 2016","Oct 12, 2016",2016,Trolls,20th Century Fox,Adventure,Based on Toy,Digital Animation,Kids Fiction,125000000,4060,4066,25885,46581142,153856089,200961430,188975620,342831709
25,"Jan 22, 2016","Jul 12, 2015",2016,Zhuo yao ji,FilmRise,Adventure,Original Screenplay,Live Action,Fantasy,56000000,39,41,39,21074,32766,42842,340937053,340969819
26,"Jul 22, 2016","Jul 21, 2016",2016,Star Trek Beyond,Paramount Pictures,Adventure,Based on TV,Live Action,Science Fiction,185000000,3928,3928,20357,59253211,158848340,207696501,176825368,335673708
27,"Jun 10, 2016","May 27, 2016",2016,Now You See Me 2,Lionsgate,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,90000000,3232,3232,13138,22383146,65075540,85087211,263249467,328325007
28,"Jun 10, 2016","Jun 9, 2016",2016,The Conjuring 2: The Enfield Poltergeist,Warner Bros.,Horror,Original Screenplay,Live Action,Fantasy,40000000,3343,3356,14126,40406314,102470008,133981020,218900000,321370008
29,"Dec 21, 2016","Dec 21, 2016",2016,Dangal,UTV Communications,Action,Based on Real Life Events,Live Action,Dramatization,9500000,331,338,1109,3248481,12391761,16014100,292757700,305149461
30,"Dec 21, 2016","Dec 21, 2016",2016,Passengers,Sony Pictures,Drama,Original Screenplay,Live Action,Science Fiction,110000000,3478,3478,18284,14869736,100014699,128688686,202224973,302239672
31,"Sep 30, 2016","Sep 21, 2016",2016,Miss Peregrine s Home for Peculiar,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,110000000,3522,3835,21544,28871140,87242834,114057380,208744042,295986876
32,"May 27, 2016","May 20, 2016",2016,Alice Through the Looking Glass,Walt Disney,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,170000000,3763,3763,13748,26858726,77042381,100734031,199885731,276928112
33,"Jun 3, 2016","Jun 2, 2016",2016,Teenage Mutant Ninja Turtles: Out of,Paramount Pictures,Action,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,135000000,4071,4071,15125,35316382,82051601,107283652,163276773,245328374
34,"Sep 9, 2016","Sep 8, 2016",2016,Sully,Warner Bros.,Drama,Based on Factual Book/Article,Live Action,Dramatization,60000000,3525,3955,24002,35028301,125070033,163526506,118800000,243870033
35,"Dec 21, 2016","Dec 21, 2016",2016,Assassin s Creed,20th Century Fox,Action,Based on Game,Live Action,Science Fiction,125000000,2970,2996,10601,10278225,54647948,70602516,186111734,240759682
